nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
10007,A,Sainte-Catherine,B-C-D-J,-73.575222619530479000,45.497866173540572000,Régulier Payez-Partez
10009,A,Mackay,B-C-D-J,-73.576808956420081000,45.495816897594985000,Régulier Payez-Partez
10013,A,Bishop,B-C-D-J,-73.577890940711555000,45.497370382816555000,Régulier Payez-Partez
10014,A,Bishop,B-C-D-J,-73.576529326095454000,45.496558238196776000,Régulier Payez-Partez
10017,A,Bishop,B-C-D-J,-73.576172840509685000,45.496525578341952000,Régulier Payez-Partez
10019,A,Bishop,B-C-D-J,-73.573800120288652000,45.495389121688824000,Régulier Payez-Partez
10020,A,Crescent,B-C-D-J,-73.575894729128279000,45.497198184155323000,Régulier Payez-Partez
10023,A,Crescent,B-C-D-J,-73.577259921569436000,45.498021863954833000,Régulier Payez-Partez
10025,A,Crescent,B-C-D-J,-73.575515535049703000,45.497156074480785000,Régulier Payez-Partez
10026,A,Crescent,B-C-D-J,-73.573224197794772000,45.496048405136179000,Régulier Payez-Partez
10027,A,Robert-Bourassa,J-K-L-M,-73.564879100890423000,45.500410055326270000,Régulier Payez-Partez
10028,A,Saint-Jacques,K-M-N-P,-73.561393905917598000,45.500423280661231000,Régulier Payez-Partez
10030,A,Saint-Jacques,K-M-N-P,-73.561572010238095000,45.499991623416015000,Régulier Payez-Partez
10032,A,Saint-Antoine,K-M-N-P,-73.562908978833221000,45.500045729174367000,Régulier Payez-Partez
10033,A,Saint-Antoine,K-M-N-P,-73.562315176306967000,45.500772289835851000,Régulier Payez-Partez
10035,A,Saint-Antoine,K-M-N-P,-73.561177810210381000,45.502103398070410000,Régulier Payez-Partez
10036,A,Saint-Antoine,K-M-N-P,-73.560919805027396000,45.502719873383413000,Régulier Payez-Partez
10037,A,Viger,K-M-N-P,-73.563384711498742000,45.501777927319765000,Régulier Payez-Partez
10039,A,Viger,K-M-N-P,-73.562752596464449000,45.502614275615464000,Régulier Payez-Partez
10042,A,Viger,K-M-N-P,-73.562146210566965000,45.503125861956711000,Régulier Payez-Partez
10046,A,Viger,K-M-N-P,-73.561344322660076000,45.504548380137464000,Régulier Payez-Partez
10047,A,Viger,K-M-N-P,-73.561255065791883000,45.504345187380011000,Régulier Payez-Partez
10048,A,Viger,K-M-N-P,-73.560025285391745000,45.506272828465704000,Régulier Payez-Partez
10049,A,Saint-Antoine,K-M-N-P,-73.560159083533947000,45.503619967715167000,Régulier Payez-Partez
10050,A,Saint-Antoine,K-M-N-P,-73.559476138694905000,45.504435564992299000,Régulier Payez-Partez
10051,A,Saint-Antoine,K-M-N-P,-73.559025336757458000,45.504968037821435000,Régulier Payez-Partez
10052,A,Saint-Antoine,K-M-N-P,-73.558505522106501000,45.505570131595974000,Régulier Payez-Partez
10064,A,072 (nord ave Mont-Royal) - voie 1,PD-PH-PJ-PK,-73.576138030784620000,45.532042179585034000,Régulier Payez-Partez
10065,A,073 (nord Masson) - voie 1,RA-RB-RC-RD,-73.575301169268812000,45.548428246972307000,Régulier Payez-Partez
10066,A,075 (nord Masson) - voie 1,RA-RB-RC-RD,-73.574511176976671000,45.549754789947165000,Régulier Payez-Partez
10067,A,078 (Boyer sud Bélanger) Niveau C,RA-RB-RC-VA,-73.608566069863272000,45.539636941969682000,Régulier Payez-Affichez
10068,A,078 (Boyer sud Bélanger) Niveau A,RA-RB-RC-VA,-73.608707971759444000,45.539337152205420000,Régulier Payez-Affichez
10070,A,078 (Boyer sud Bélanger) Niveau B,RA-RB-RC-VA,-73.608779766041266000,45.539535255029172000,Régulier Payez-Affichez
10102,A,303  (sud de Beaubien) voie 1 ,RB-RC-RD-VB,-73.601606024801626000,45.535992424017088000,Régulier Payez-Partez
10111,A,René-Lévesque,B-C-D-J,-73.574404078084584000,45.494666150616439000,Régulier Payez-Partez
10114,A,Mackay,B-C-D-J,-73.578514619157616000,45.496612786368857000,Régulier Payez-Partez
10120,A,Sainte-Catherine,A-B-C-J,-73.579465978183066000,45.493728295992696000,Régulier Payez-Partez
10121,A,Sainte-Catherine,A-B-C-J,-73.580242588796167000,45.492875065882487000,Régulier Payez-Partez
10123,A,Sainte-Catherine,A-B-C-J,-73.578061331560718000,45.495004907141947000,Régulier Payez-Partez
10125,A,René-Lévesque,A-B-C-J,-73.576017922199213000,45.492990241935892000,Régulier Payez-Partez
10129,A,Guy,A-B-C-J,-73.579519667891020000,45.495686395780766000,Régulier Payez-Partez
10131,A,Guy,A-B-C-J,-73.575368058785216000,45.493851439837933000,Régulier Payez-Partez
10132,A,Guy,A-B-C-J,-73.577626434599139000,45.495053047839050000,Régulier Payez-Partez
10135,A,Sherbrooke,A-B-C-R,-73.582304983457519000,45.495761880654726000,Régulier Payez-Partez
