sNoEmplacement,sCodeAutocollant
A007,CH-AA
A007,MX-01
A007,MX-02
A007,XX-30
A007,XX-31
A008,CH-AA
A008,MX-01
A008,MX-02
A008,XX-30
A008,XX-31
A009,CH-AA
A009,MX-01
A009,MX-02
A009,XX-30
A009,XX-31
A010,CH-AA
A010,MX-01
A010,MX-02
A010,XX-30
A010,XX-31
A011,CH-AA
A011,MX-01
A011,MX-02
A011,XX-30
A011,XX-31
A012,CH-AA
A012,MX-01
A012,MX-02
A012,XX-30
A012,XX-31
A013,CH-AA
A013,MX-01
A013,MX-02
A013,XX-30
A013,XX-31
A014,CH-AA
A014,MX-01
A014,MX-02
A014,XX-30
A014,XX-31
A015,CH-AA
A015,MX-01
A015,MX-02
A015,XX-30
A015,XX-31
A016,CH-AA
A016,MX-01
A016,MX-02
A016,XX-30
A016,XX-31
A017,CH-AA
A017,MX-01
A017,MX-02
A017,XX-30
A017,XX-31
A018,CH-AA
A018,MX-01
A018,MX-02
A018,XX-30
A018,XX-31
A019,CH-AA
A019,MX-01
A019,MX-02
A019,XX-30
A019,XX-31
A020,CH-AA
A020,MX-01
A020,MX-02
A020,XX-30
A020,XX-31
A024,CH-AA
A024,MX-01
A024,MX-02
A024,XX-30
A024,XX-31
A024,ZY-35
A025,CH-AA
A025,MX-01
A025,MX-02
A025,XX-30
A025,XX-31
A025,ZY-35
A026,CH-AA
A026,MX-01
A026,MX-02
A026,XX-30
A026,XX-31
A026,ZY-35
A027,CH-AA
A027,MX-01
A027,MX-02
A027,XX-30
A027,XX-31
A027,ZY-35
A028,CH-AA
A028,MX-01
A028,MX-02
A028,XX-30
A028,XX-31
A028,ZY-35
A029,CH-AA
A029,MX-01
A029,MX-02
A029,XX-30
A029,XX-31
A029,ZY-35
A030,CH-AA
A030,MX-01
A030,MX-02
A030,XX-30
A030,XX-31
A030,ZY-35
A031,CH-AA
A031,MX-01
A031,MX-02
A031,XX-30
A031,XX-31
A031,ZY-35
A032,CH-AA
A032,MX-01
A032,MX-02
A032,XX-30
A032,XX-31
A032,ZY-35
A133,CH-AA
A133,MX-01
A133,MX-02
A133,XX-30
A133,XX-31
A133,ZY-14
A134,CH-AA
A134,MX-01
A134,MX-02
A134,XX-30
A134,XX-31
A134,ZY-14
A135,CH-AA
A135,MX-01
A135,MX-02
A135,XX-30
A135,XX-31
A135,ZY-14
A136,CH-AA
A136,MX-01
A136,MX-02
A136,XX-30
A136,XX-31
A136,ZY-14
A137,CH-AA
A137,MX-01
A137,MX-02
A137,XX-30
A137,XX-31
A137,ZY-14
A138,CH-AA
A138,MX-01
A138,MX-02
A138,XX-30
A138,XX-31
A138,ZY-14
A158,CH-AA
A158,MX-01
A158,MX-02
A158,XX-30
A158,XX-31
A158,ZZ-69
A159,CH-AA
A159,MX-01
A159,MX-02
A159,XX-30
A159,XX-31
A159,ZZ-69
A160,CH-AA
A160,MX-01
A160,MX-02
A160,XX-30
A160,XX-31
A160,ZZ-69
A161,CH-AA
A161,MX-01
A161,MX-02
A161,XX-30
A161,XX-31
A161,ZZ-69
A167,CH-AA
A167,MX-01
A167,MX-02
A167,XX-30
A167,XX-31
A167,ZZ-69
A168,CH-AA
A168,MX-01
A168,MX-02
A168,XX-30
A168,XX-31
A168,ZZ-69
A169,CH-AA
A169,MX-01
A169,MX-02
A169,XX-30
A169,XX-31
A169,ZZ-69
A170,CH-AA
A170,MX-01
A170,MX-02
A170,XX-30
A170,XX-31
A170,ZZ-69
A171,CH-AA
A171,MX-01
A171,MX-02
A171,XX-30
A171,XX-31
A171,ZZ-69
A172,CH-AA
A172,MX-01
A172,MX-02
A172,XX-30
A172,XX-31
A172,ZZ-69
A173,CH-AA
A173,MX-01
A173,MX-02
A173,XX-30
A173,XX-31
A173,ZZ-69
A174,CH-AA
A174,MX-01
A174,MX-02
A174,XX-30
A174,XX-31
A174,ZZ-69
A175,CH-AA
A175,MX-01
A175,MX-02
A175,XX-30
A175,XX-31
A175,ZZ-69
A176,CH-AA
A176,MX-01
A176,MX-02
A176,XX-30
A176,XX-31
A176,ZZ-69
A190,CH-AA
A190,MX-01
A190,MX-02
A190,XX-30
A190,XX-31
A190,ZZ-69
A194,CH-AA
A194,MX-01
A194,MX-02
A194,XX-30
A194,XX-31
A194,ZZ-69
A195,CH-AA
A195,MX-01
A195,MX-02
A195,XX-30
A195,XX-31
A195,ZZ-69
A196,CH-AA
A196,MX-01
A196,MX-02
A196,XX-30
A196,XX-31
A196,ZZ-69
A204,CH-AA
A204,MX-01
A204,MX-02
A204,XX-30
A204,XX-31
A204,ZZ-69
A205,CH-AA
A205,MX-01
A205,MX-02
A205,XX-30
A205,XX-31
A205,ZZ-69
A207,CH-AA
A207,MX-01
A207,MX-02
A207,XX-30
A207,XX-31
A207,ZZ-69
A208,CH-AA
A208,MX-01
A208,MX-02
A208,XX-30
A208,XX-31
A208,ZZ-69
A209,CH-AA
A209,MX-01
A209,MX-02
A209,XX-30
A209,XX-31
A209,ZZ-69
A214,CH-AA
A214,MX-01
A214,MX-02
A214,XX-30
A214,XX-31
A214,ZZ-69
A217,CH-AA
A217,MX-01
A217,MX-02
A217,XX-30
A217,XX-31
A217,ZZ-69
A218,CH-AA
A218,MX-01
A218,MX-02
A218,XX-30
A218,XX-31
A218,ZZ-69
A219,CH-AA
A219,MX-01
A219,MX-02
A219,XX-30
A219,XX-31
A219,ZZ-69
A220,CH-AA
A220,MX-01
A220,MX-02
A220,XX-30
A220,XX-31
A220,ZZ-69
A221,CH-AA
A221,MX-01
A221,MX-02
A221,XX-30
A221,XX-31
A221,ZZ-69
A237,CH-AA
A237,MX-01
A237,MX-02
A237,XX-30
A237,XX-31
A237,ZZ-69
A238,CH-AA
A238,MX-01
A238,MX-02
A238,XX-30
A238,XX-31
A238,ZZ-69
A239,CH-AA
A239,MX-01
A239,MX-02
A239,XX-30
A239,XX-31
A239,ZZ-69
A240,CH-AA
A240,MX-01
A240,MX-02
A240,XX-30
A240,XX-31
A240,ZZ-69
A241,CH-AA
A241,MX-01
A241,MX-02
A241,XX-30
A241,XX-31
A241,ZZ-69
A242,CH-AA
A242,MX-01
A242,MX-02
A242,XX-30
A242,XX-31
A242,ZZ-69
A258,CH-AA
A258,MX-01
A258,MX-02
A258,PC-VE
A258,XX-30
A258,XX-31
A258,ZY-14
A259,CH-AA
A259,MX-01
A259,MX-02
A259,PC-VE
A259,XX-30
A259,XX-31
A259,ZY-14
A260,CH-AA
A260,MX-01
A260,MX-02
A260,XX-30
A260,XX-31
A260,ZY-14
A261,CH-AA
A261,MX-01
A261,MX-02
A261,XX-30
A261,XX-31
A261,ZY-14
A264,CH-AA
A264,MX-01
A264,MX-02
A264,XX-30
A264,XX-31
A264,ZY-14
A265,CH-AA
A265,MX-01
A265,MX-02
A265,XX-30
A265,XX-31
A265,ZY-14
A266,CH-AA
A266,MX-01
A266,MX-02
A266,XX-30
A266,XX-31
A266,ZY-14
A267,CH-AA
A267,MX-01
A267,MX-02
A267,XX-30
A267,XX-31
A267,ZY-14
A273,CH-AA
A273,MX-01
A273,MX-02
A273,XX-30
A273,XX-31
A273,ZY-14
A281,CH-AA
A281,MX-01
A281,MX-02
A281,XX-30
A281,XX-31
A281,ZY-14
A282,CH-AA
A282,MX-01
A282,MX-02
A282,XX-30
A282,XX-31
A282,ZY-14
A283,CH-AA
A283,MX-01
A283,MX-02
A283,XX-30
A283,XX-31
A283,ZY-14
A284,CH-AA
A284,MX-01
A284,MX-02
A284,XX-30
A284,XX-31
A284,ZY-14
A285,CH-AA
A285,MX-01
A285,MX-02
A285,XX-30
A285,XX-31
A285,ZY-14
A286,CH-AA
A286,MX-01
A286,MX-02
A286,XX-30
A286,XX-31
A286,ZY-14
A290,CH-AA
A290,MX-01
A290,MX-02
A290,XX-30
A290,XX-31
A290,ZY-14
A291,CH-AA
A291,MX-01
A291,MX-02
A291,XX-30
A291,XX-31
A291,ZY-14
A292,CH-AA
A292,MX-01
A292,MX-02
A292,XX-30
A292,XX-31
A292,ZY-14
A293,CH-AA
A293,MX-01
A293,MX-02
A293,XX-30
A293,XX-31
A293,ZY-14
A294,CH-AA
A294,MX-01
A294,MX-02
A294,XX-30
A294,XX-31
A294,ZY-14
A295,CH-AA
A295,MX-01
A295,MX-02
A295,XX-30
A295,XX-31
A295,ZY-14
A300,CH-AA
A300,MX-01
A300,MX-02
A300,XX-30
A300,XX-31
A300,ZY-14
A301,CH-AA
A301,MX-01
A301,MX-02
A301,XX-30
A301,XX-31
A301,ZY-14
A302,CH-AA
A302,MX-01
A302,MX-02
A302,XX-30
A302,XX-31
A302,ZY-14
A303,CH-AA
A303,MX-01
A303,MX-02
A303,XX-30
A303,XX-31
A303,ZY-14
A304,CH-AA
A304,MX-01
A304,MX-02
A304,XX-30
A304,XX-31
A304,ZY-14
A305,CH-AA
A305,MX-01
A305,MX-02
A305,XX-30
A305,XX-31
A305,ZY-14
A306,CC-AA
A306,MX-01
A306,MX-02
A306,PA-TD
A306,PC-TD
A306,XX-30
A306,XX-31
A306,ZY-14
A311,CH-AA
A311,MX-01
A311,MX-02
A311,XX-30
A311,XX-31
A311,ZY-14
A319,CH-AA
A319,MX-01
A319,MX-02
A319,XX-30
A319,XX-31
A319,ZY-14
A320,CH-AA
A320,MX-01
A320,MX-02
A320,XX-30
A320,XX-31
A320,ZY-14
A322,CH-AA
A322,MX-01
A322,MX-02
A322,XX-30
A322,XX-31
A322,ZZ-69
A323,CH-TM
A323,CI-SD
A323,MX-01
A323,MX-02
A323,XX-30
A323,XX-31
A323,ZY-51
A324,CH-TM
A324,CI-SD
A324,MX-01
A324,MX-02
A324,XX-30
A324,XX-31
A324,ZY-51
A325,CH-TM
A325,CI-SD
A325,MX-01
A325,MX-02
A325,XX-30
A325,XX-31
A325,ZY-51
A329,CH-AA
A329,MX-01
A329,MX-02
A329,XX-30
A329,XX-31
A329,ZY-14
A330,CH-AA
A330,MX-01
A330,MX-02
A330,XX-30
A330,XX-31
A330,ZY-14
A331,CH-AA
A331,MX-01
A331,MX-02
A331,XX-30
A331,XX-31
